Title,description,authors,publisher,publishedDate,categories,Id,User_id,review/helpfulness,review/score,review/time,review/summary,review/text,year,language
The Great Gatsby,"In The Great Gatsby F. Scott Fitzgerald captures the flamboyance, the carelessness and the cruelty of the wealthy during America's Jazz Age. Part of the Macmillan Collector’s Library; a series of stunning, clothbound, pocket sized classics with gold foiled edges and ribbon markers. These beautiful books make perfect gifts or a treat for any book lover. This beautiful Macmillan Collector's Library edition features an afterword by David Stuart Davies. The Great Gatsby lives mysteriously in a luxurious Long Island mansion, playing lavish host to hundreds of people. And yet no one seems to know him or how he became so rich. He is rumoured to be everything from a German spy to a war hero. People clamour for invitations to his wild parties. But Jay Gatsby doesn't heed them. He cares for one person alone - Daisy Buchanan, the woman he has waited for all his life. Little does he know that his infatuation will lead to tragedy and end in murder.",['F. Scott Fitzgerald'],Pan Macmillan,2016-09-08,['Fiction'],B000OW0XR4,A2EZ0OKB291N7,2/2,5.0,982886400,A Great Classic,"Gatsby is one of those novels that I love to come back to and reread. It's really a writers' textbook that teaches by example how to extend, invent, and use language in new and effective ways. For it's a rare book that gets this amount of meaning into a sentence and it's a rare book that has the dimensions and extraordinary intensity of impression that its paragraphs carry. Scenes blaze with life and it all goes by so fast I always end up with the feeling that I have finished a short story not a book. In Gatsby Fitzgerald is more in command and control than he is in all his other novels put together including The Last Tycoon, Tender is the Night, The Beautiful and the Damned, and This Side of Paradise. Gatsby is a novel with few false moves, a simple story and a simple plot. One might say almost perfect in structural simplicity, but the meanings are complex creating the suggestion that there is more, much more, under the surface, which incidentally there is. Part of the subtext is brought out by rich symbolism. Who will ever forget the weird eyes of T.J. Eckleburg looking over the wasteland of ash and what that means? Who will ever forget the green light at the end of Daisy's dock and what that means? If you haven't read this classic of twentieth-century literature, please read it. If you have read it, you might profit by going back after you have matured some more and rereading.",2016,en
"Harriet Tubman, conductor on the Underground Railroad","This quintessential middle grade biography of Harriet Tubman now features a cover by NAACP Image Award winner and Caldecott Honor illustrator Kadir Nelson, a foreword by National Book Award finalist Jason Reynolds, and additional new material. A selection of the Schomburg Center's Black Liberation Reading List. Harriet Tubman: Conductor on the Underground Railroad was praised by the New Yorker as “an evocative portrait,” and by the Chicago Tribune as “superb.” It is a gripping and accessible portrait of the heroic woman who guided more than 300 enslaved people to freedom. Harriet Tubman was born in slavery and dreamed of being free. She was willing to risk everything—including her own life—to see that dream come true. After her daring escape, Harriet became a conductor on the secret Underground Railroad, helping others make the dangerous journey to freedom. This award-winning introduction to the late abolitionist, which was named an ALA Notable Book and a New York Times Outstanding Book, includes additional educational back matter such as a timeline, discussion questions, and extension activities.",['Ann Petry'],HarperCollins,2021-01-19,['Juvenile Nonfiction'],B0006AU7NO,AM1CHGR00DIQN,3/4,5.0,951782400,"The best biography on Harriet Ross, I learned her last name!","This is the best ever published biography on Minty/Harriet Ross/Tubman! I loved it! I learned so many things on Harriet. I don't want to spoil the book so that is all I will say. If you don't like the begining, KEEP READING! I hated how slow this book started! That's how slow it started. KEEP READING ALL THE TIME!",2021,en
Extinction: How Life on Earth Nearly Ended 250 Million Years Ago,"Some 250 million years ago, the earth suffered the greatest biological crisis in its history. Around 95 percent of all living species died out—a global catastrophe far greater than the dinosaurs' demise 185 million years later. How this happened remains a mystery. But there are many competing theories. Some blame huge volcanic eruptions that covered an area as large as the continental United States; others argue for sudden changes in ocean levels and chemistry, including burps of methane gas; and still others cite the impact of an extraterrestrial object, similar to what caused the dinosaurs' extinction. Extinction is a paleontological mystery story. Here, the world's foremost authority on the subject provides a fascinating overview of the evidence for and against a whole host of hypotheses concerning this cataclysmic event that unfolded at the end of the Permian. After setting the scene, Erwin introduces the suite of possible perpetrators and the types of evidence paleontologists seek. He then unveils the actual evidence--moving from China, where much of the best evidence is found; to a look at extinction in the oceans; to the extraordinary fossil animals of the Karoo Desert of South Africa. Erwin reviews the evidence for each of the hypotheses before presenting his own view of what happened. Although full recovery took tens of millions of years, this most massive of mass extinctions was a powerful creative force, setting the stage for the development of the world as we know it today. In a new preface, Douglas Erwin assesses developments in the field since the book's initial publication.",['Douglas H. Erwin'],Princeton University Press,2015-03-22,['Science'],0691005249,A1XXJ6I7K2I7SI,24/25,5.0,1144368000,When Life Almost Didn't Make It,"Even kids now can tell you about the mass extinction that wiped out the dinosaurs. When I was a kid, the dinosaur extinction was a big mystery, but there has been good evidence, now broadly accepted, that 65 million years ago a meteor as big as a mountain smashed into the Yucatan, turning everything for miles around into ash, wrapping the world in a cloud, and blocking the sunlight that runs all life. Everything all over the world changed, and we mammals got our try at reproductive success. The horrendous extinction that ended the Cretaceous age, however, wasn't the worst our old Earth had seen. 250 million years ago, there was an extinction that ended the Permian and began the Triassic periods (which is also the border between the larger, more general Paleozoic and Mesozoic eras). This Permo-Triassic event extinguished around 95 percent of all living species, and was as close as we have ever come to having all life wiped out. In fact, in the 19th century, geologists thought that life had been wiped out and a separate creation had occurred to start the Triassic. What really happened, and how, are the subjects of _Extinction: How Life on Earth Nearly Ended 250 Million Years Ago_ (Princeton University Press) by Douglas H. Erwin, Senior Scientist and Curator of the Department of Paleobiology at the Smithsonian. He has made the end-Permian mass extinction his research interest for the past twenty years, and has traveled all over the world to the fossil beds and geologic boundary layers remaining from around the time of the catastrophe. Looking back so many millions of years ago is not easy, and the picture is not as clear as that of the dinosaur extinction. Erwin's book, however, is a fine demonstration of how geologists and paleobiologists have come to some admittedly limited understanding of what happened.There are many factors that have been suspects in the great killing, and Erwin likes to think of himself as a detective out of Agatha Christie set to finger the actual culprit. It's not that easy, of course. Catastrophic explanations for the end-Permian abound, and Erwin's book is an examination of the more likely causes, about six of them. Of course, a main one, borrowing from the success of the impact explanation of 65 million years ago, is an extraterrestrial impact. It is certainly a plausible explanation, since it is accepted as the cause of the more recent extinction. There are problems, however. The impact that wiped out the dinosaurs left clues like an iridium layer in geological strata (there is lots of iridium in meteorites, not so much on Earth) and ""shocked quartz"" impact crystals, but such clues are lacking for the earlier event. Another explanation might be volcanism, resulting in dust and acidic chemicals and basalts that cover a countryside ""much as honey fills in the roughness of an English muffin."" Yet another is that continental drift (plate tectonics) was causing collisions at the time, forcing species that had not previously met each other to compete, and changing the global climate by newly formed landmasses. Vast glaciation may have caused cooling and a decrease in sea level. Perhaps there was a drop in oxygen levels of the oceans. Maybe sea levels dropped and caused a huge release of methane from sediments.He has not, however, wrapped everything up, as, say, Hercule Poirot might. He does, indeed, call his own proposal at explanation the _Murder on the Orient Express_ hypothesis, based on Agatha Christie's book which is a who-didn't-do-it rather than a whodunit. The explanation calls on aspects of many of the other explanations, but Erwin admits this makes it hard to test. One of his colleagues had dubbed it ""Erwin's kitchen sink hypothesis"", and, as Erwin says, was not being complimentary. There are implications for our own times in this story, since we are now in another period of great extinctions and our climate may be changing irrevocably, but Erwin does not stress these. His book is a fine summary of current thinking on the extinction. Readers will come up against sentences like, ""Some surviving ammonoids with extreme morphology died out in the Griesbachian, but new Dienerian ammonoids were more similar to the norm..."" (all the terms are well explained, but will be new to most readers), but then a few pages later readers will learn that the ""quality of many Early Triassic fossils is really pretty lousy."" There may be fewer hard answers here than in a murder mystery, but the explanations about how scientists came up with ideas about the extinction make this a fascinating look at experts confronting profound and distant mysteries.",2015,en
"Little Women or Meg, Jo, Beth, and Amy.","Little Women with a twist: four sisters from a blended family experience the challenges and triumphs of life in NYC in this beautiful full-color graphic novel perfect for fans of Roller Girl and Smile. Meg, Jo, Beth, and Amy are having a really tough year: with their father serving in the military overseas, they must work overtime to make ends meet...and each girl is struggling in her own way. Whether it's school woes, health issues, boy troubles, or simply feeling lost, the March sisters all need the same thing: support from each other. Only by coming together--and sharing lots of laughs and tears--will these four young women find the courage to discover who they truly are as individuals...and as a family. Meg is the eldest March, and she has a taste for the finer things in life. She dreams of marrying rich, enjoying fabulous clothes and parties, and leaving her five-floor walk-up apartment behind. Jo pushes her siblings to be true to themselves, yet feels like no one will accept her for who she truly is. Her passion for writing gives her an outlet to feel worthy in the eyes of her friends and family. Beth is the shy sister with a voice begging to be heard. But with a guitar in hand, she finds a courage that inspires her siblings to seize the day and not take life for granted. Amy may be the baby of the family, but she has the biggest personality. Though she loves to fight with her sisters, her tough exterior protects a vulnerable heart that worries about her family's future.",['Rey Terciero'],"Little, Brown Books for Young Readers",2019-02-05,['Juvenile Fiction'],B000KORO82,A1UA960XB4FA8G,0/0,5.0,1357344000,A wonderful story,"This book ought to be read by students in countries where they are not asked to read this. It's sad,funny and a wonderful story",2019,en
Middlemarch a Study of Provincial Life,"“Middlemarch - A Study of Provincial Life” is an 1871 novel by English author George Eliot. Set in the fictitious Midlands town of Middlemarch, the story revolves around the lives of its inhabitants in the years leading up to the Reform Act in 1832, particularly those of Dorothea Brooke, Tertius Lydgate, Nicholas Bulstrode, and Mary Garth. The novel deals with a variety of themes and issues including marriage, religion, hypocrisy, education, political reform, and the status of women. Although published to mixed reviews, Eliot's “Middlemarch” is now widely considered to be one of the greatest novels ever written in the English language. A veritable classic of English literature without which no bookshelf is complete. Mary Ann Evans (1819–1880), more commonly known as George Eliot, was an English poet, journalist, novelist, and translator. Among the most prominent writers in Victorian England, she wrote seven novels in total, most of which are known for their realism and psychological analyses of provincial English life. Other notable works by this author include: “Adam Bede” (1859), “The Mill on the Floss” (1860), and “Daniel Deronda” (1876). Read & Co. Classics is republishing this classic novel now in a new edition complete with a specially-commissioned new biography of the author.",['George Eliot'],Read Books Ltd,2020-07-31,['Fiction'],B000NRGA86,A23ZCJ9U3ZN0FK,1/1,4.0,1222905600,"sophisticated, complex, original","This is a wonderfully sophisticated, intelligent book with sharp commentary on multiple social issues of her time.(and ours in certain aspects) All of the characters are wonderfully imperfect, restrained and original and are caught in the intriguing webs of dilemmas but their behviors are very coherent with their characters and subcultures. This author truly deserves our utmost respect.",2020,en
The Sea Wolf,"This carefully crafted ebook: “The Sea Wolf (Unabridged)” is formatted for your eReader with a functional and detailed table of contents. John Griffith ""Jack"" London was an American author, journalist, and social activist. He was a pioneer in the then-burgeoning world of commercial magazine fiction and was one of the first fiction writers to obtain worldwide celebrity and a large fortune from his fiction alone. He is best remembered as the author of Call of the Wild and White Fang, both set in the Klondike Gold Rush, as well as the short stories ""To Build a Fire"", ""An Odyssey of the North"", and ""Love of Life. He also wrote of the South Pacific in such stories as ""The Pearls of Parlay"" and ""The Heathen"", and of the San Francisco Bay area in The Sea Wolf. The Sea-Wolf is a 1904 psychological adventure about a literary critic and survivor of an ocean collision, who comes under the dominance of Wolf Larsen, the powerful and amoral sea captain who rescues him. A deranged and abusive sea captain perpetrates a shipboard atmosphere of increasing violence that ultimately boils into mutiny, shipwreck, and a desperate confrontation...",['Jack London'],e-artnow,2013-07-10,['Fiction'],B000Q5ZI4C,A275TEI3WTUMYB,3/3,5.0,1160179200,Unique Classic,"Jack London was one of the greatest authors America has ever known. It's ironic that because of his dog-centric books that he is often written off as a children's author. I once made the mistake of taking a collection of his short stories on a vacation. Great stories, but among the most depressing, violent, cruel concepts ever put to paper. A poor fit with frozen drinks and palm trees.The Sea Wolf is one of my favorite books largely on the basis of the villian, Wolf Larsen. He stands unique among villians in that he is huge, powerful, intelligent, ambitious, aggressive, with no muzzle of a conscience. He is omnipotent. Absolute power corupting absolutely. He is not a dumb brute that our intellectual hero outwits or outworks. Were it not for the peripheral factors of his even more destructive brother, or his failing health, he would have remained the master of his domain. I would expect that this Alpha male nature of Larsen that led London to name him Wolf.One of the biggest casting crimes ever committed by Hollywood was the casting of E.G. Robinson as Wolf and then remaking it with Bronson many years later (apparently based on having watched the original movie without really understanding the book).",2013,en
Dragon's Egg,"“In science fiction there is only a handful of books that stretch the mind—and this is one of them.”—Arthur C. Clarke In a moving story of sacrifice and triumph, human scientists establish a relationship with intelligent lifeforms—the cheela—living on Dragon’s Egg, a neutron star where one Earth hour is equivalent to hundreds of their years. The cheela culturally evolve from savagery to the discovery of science, and for a brief time, men are their diligent teachers. Praise for Dragon’s Egg “Bob Forward writes in the tradition of Hal Clement’s Mission of Gravity and carries it a giant step (how else?) forward.”—Isaac Asimov “Dragon’s Egg is superb. I couldn’t have written it; it required too much real physics.”—Larry Niven “This is one for the real science-fiction fan.”—Frank Herbert “Robert L. Forward tells a good story and asks a profound question. If we run into a race of creatures who live a hundred years while we live an hour, what can they say to us or we to them?”—Freeman J. Dyson “Forward has impeccable scientific credentials, and . . . big, original, speculative ideas.”—The Washington Post",['Robert L. Forward'],Del Rey,2011-02-16,['Fiction'],B000GRIVKI,A3V98ZMX2MU73L,1/3,5.0,966988800,My first and one the best Sci-Fi book I read!!!,This book was the first Sci-Fi book I ever read. It was loaned to me by a friend of mine in university. He was majoring in Physics and told me that this was the book to read if I wanted to start in the genre. I think I have been hooked ever since.This book substantially involves more physics than I have ever read. It is terribly engrossing and the story is well researched and written. I almost wish I was one of the astronauts to see the rise and fall of the Cheela civilation. A truly must read book.,2011,en
Love & Respect: The Love She Most Desires; The Respect He Desperately Needs,"De wijsheid van 100 liefdesprofessoren uit de hele wereld Dit boek begint waar Hollywood stopt. Na het wereldwijde succes van Geluk. The World Book of Happiness bestudeerde Leo Bormans twee jaar lang het wetenschappelijk onderzoek over de liefde. Hij verzamelde de grootste denkers: 100 onderzoekers uit 50 landen vatten in 1000 woorden samen wat we weten over de liefde. Het resultaat is een caleidoscopisch boek vol wijsheid en inzicht in het systeem en het mysterie van de liefde. The World Book of Love is een boek over hechting, passie en toewijding. Over jaloezie en misbruik, Darwin, speeddates en hersenscans. Over ouderliefde, dieren, vrienden, seks, huwelijk en scheiding, vlinders in de buik en zorg voor ouderen. Maar vooral ook over het geheim van de romantische liefde. In een geglobaliseerde wereld kunnen we allemaal van elkaar leren. Van Amerika tot China, van Afrika tot Finland. Ontmoet jezelf en je geliefden in de spiegel en het venster van dit boek. Bezoek zeker ook www.theworldbookoflove.comNeem deel aan de wedstrijd en maak een jaar lang elke maand kans op een romantische overnachting voor 2 in Parijs.",['Leo Bormans'],Lannoo Meulenhoff - Belgium,2013-04-09,['Psychology'],1591451876,A3UA9G0R69ULSZ,6/10,5.0,1119139200,A Life Changer ..,"The principles taught in this book salvaged my marriage when I thought it was hopeless. I am so excited about it, that I keep buying copies for my friends. It's consistently sold out at all the local bookstores, I think, because it's changing lives and people are telling their friends. I recommend this book for EVERYONE .. before you're even in a relationship or at any stage of marriage. It's so simple and to the point. Get this book, and you'll be on your way to the best marriage you could ever imagine.",2013,en
Death in the Afternoon,"Still considered one of the best books ever written about bullfighting, Death in the Afternoon is an impassioned look at the sport by one of its true aficionados. It reflects Hemingway's conviction that bullfighting was more than mere sport and reveals a rich source of inspiration for his art. The unrivaled drama of bullfighting, with its rigorous combination of athleticism and artistry, and its requisite display of grace under pressure, ignited Hemingway's imagination. Here he describes and explains the technical aspects of this dangerous ritual and “the emotional and spiritual intensity and pure classic beauty that can be produced by a man, an animal, and a piece of scarlet serge draped on a stick.” Seen through his eyes, bullfighting becomes a richly choreographed ballet, with performers who range from awkward amateurs to masters of great elegance and cunning. A fascinating look at the history and grandeur of bullfighting, Death in the Afternoon is also a deeper contemplation of the nature of cowardice and bravery, sport and tragedy, and is enlivened throughout by Hemingway's sharp commentary on life and literature.",['Ernest Hemingway'],Simon and Schuster,2014-05-22,['Literary Criticism'],B000JWW1UG,AIHBELNQRGPVD,0/0,4.0,1350086400,death in the afternoon,"I enjoyed the first part of the book all about the ceremony, drama & skill of the fights. It was my lesson & instruction, history before I attended a bull fight in Spain. The second part of the book got bogged down in too many names of famous bull fighters & was not interesting, I appreciated the bull fight so much more with a little background. Wish I could have been there during Hemmingway's time",2014,en
Secrets of Question Based Selling,"""After I sent my team to the Question Based Selling program, not only was the feedback from the training outstanding, but we experienced an immediate positive impact in results.""—Jim Cusick, vice president of sales, SAP America, Inc. ""Following the program, even our most experienced salespeople raved, saying QBS was the best sales training they have ever experienced!""—Alan D. Rohrer, director of sales, Hewlett Packard For nearly fifteen years, The Secrets of Question Based Selling has been helping great salespeople live you deliver big results. It's commonsense approach has become a classic, must-have tool that demonstrates how asking the right questions at the right time accurately identifies your customer's needs. But consumer behavior and sales techniques change as rapidly as technology—and there are countless contradictory sales training programs promising results. Knowing where you should turn to for success can be confusing. Now fully revised and updated, The Secrets of Question Based Selling provides a step-by-step, easy-to-follow program that focuses specifically on sales effectiveness—identifying the strategies and techniques that will increase your probability of success. How you sell has become more important than the product. With this hands-on guide, you will learn to: Penetrate more accounts Overcome customer skepticism Establish more credibility sooner Generate more return calls Motivate different types of buyers Develop more internal champions Close more sales...faster And much, much more",['Thomas Freese'],"Sourcebooks, Inc.",2013-11-05,['Business & Economics'],1891892002,A281K51CHWK79B,7/12,5.0,1142121600,GENUIS!!! YOU WON'T FIND A BOOK LIKE THIS ANYWHERE,"If you love to build rapport with your clients or reach audiences and not just be an order taker, then this ""formula"" is for you. You must have tolerance and a open mind for this down to earth peice...You will most likely have to start from scratch like making the dough and throw away the store bread if you desire to take the approach from SBQ...Yes, it's a sacrifice, but its worth the effort to become consultants to help your clients meet their needs in order to depend on your business and not the competition...In closing, SBQ is all about how you approach clients in a way for them to spill their needs out to you so that you can leave them with no choice but to do business with you. Case and point!",2013,en
Innocent,"We started making smoothies in 1999. On that first day we sold twenty-four bottles, and now we sell over 2 million a week, so we've grown since then. This book is about the stuff we've learned since selling those first few smoothies. About having ideas and making drinks, about running a business and getting started, about nature and fruit, about company life and working with friends, about the stuff we've got right and the stuff we got wrong, and about squirrels . . . and camping . . . and doing the right thing. We thought we'd write it all down in a book so we don't forget any of it, and to maybe help other people too. We started innocent from scratch, so we've learnt a lot of things by getting stuff wrong. Some other lessons have come from listening carefully to people clever than us. And some stuff we just got lucky on. But all of it, the good the bad and the useful, is in here. Plus, perhaps our mums will finally believe us when we tell them we haven't rung home for a while because we've been a bit busy these past few years.",['Innocent'],Penguin UK,2020-05-21,['Business & Economics'],B000QB9ZYA,A1MV7N0GHFO7RF,0/0,5.0,1360108800,I loved it!,"My first Harlen Coben. Now I am pleasantly addicted. I've since read every Coben novel that I could get my hands on. After reading one, I'm looking for the next one. I highly recommend it!",2020,en
I Capture The Castle (Turtleback School & Library Binding Edition),"“Every time I meet someone who also loves I Capture the Castle, I know we must be kindred spirits.” —from the new foreword by Jenny Han, the New York Times bestselling author of To All the Boys I’ve Loved Before. A beautiful, deluxe edition of Dodie Smith’s beloved novel, I Capture the Castle, featuring a new foreword by New York Times bestselling author Jenny Han, a stunning new cover, and designed endpapers that is perfect for devoted readers and those discovering this timeless story for the first time. Seventeen-year-old Cassandra Mortmain and her family may live in a ramshackle old English castle, but that’s about as romantic as her life gets. While her beautiful older sister, Rose, longs to live in a Jane Austen novel, Cassandra knows that meeting an eligible man to marry isn’t in either of their futures when their home is crumbling and they have to sell their furniture for food. So Cassandra instead strives to hone her writing skills in her journals. Until one day when their new landlords move in, which include two (very handsome) sons, and the lives of the Mortmain sisters change forever. Through Cassandra’s sharply funny, yet poignant, journal entries, she chronicles the great changes that take place within the castle’s walls, and her own first descent into love. By the time she pens her final entry, she has “captured the castle” – and the heart of the reader – in one of literature’s most enchanting novels. “This book has one of the most charismatic narrators I've ever met.” —J.K. Rowling, bestselling author of the Harry Potter series",['Dodie Smith'],St. Martin's Griffin,2017-10-10,['Young Adult Fiction'],0613423321,A1UUR64XFT1SVK,1/2,5.0,1078963200,Wonderful classic,"Dodie Smith's novel is captivating--from the first chapter, you feel like you know the characters, and you want to know what will happen with them. There are a ton of surprises in store, and the novel ends quite modernly. I did feel there were a few weaknesses, however, mostly in explaining relationships between characters that came out of nowhere. All the same, the book was great, and I could hardly put it down.",2017,en
The city of Gold and Lead,"Will and his friends return to the City of the Tripods—and risk their lives—in this second book of a classic alien trilogy ideal for fans of Rick Yancey’s The 5th Wave and Margaret Peterson Haddix’s Shadow Children series. When Will and his friends arrived at the White Mountains, they thought everything would be okay. They’d found a safe haven where the mechanical monsters called Tripods could not find them. But once there, they wonder about the world around them and how they are faring against the machines. In order to save everyone else, Will and his friends want to take down the Tripods once and for all. That means journeying to the Tripod capital: the City of Gold and Lead. Although the journey will be difficult, the real danger comes once Will is inside the city, where Tripods roam freely and humans are even more enslaved than they are on the outside. Without anyone to help him, Will must learn the secrets of the Tripods—and how to take them down—before they figure out that he’s a spy…and he can only pretend to be brainwashed for so long.",['John Christopher'],Aladdin,2014-05-13,['Juvenile Fiction'],B000U2H6Q4,A26R9ZXM5J23VE,0/0,4.0,1230076800,Golden book,"Excellent second installment in the unforgettable, frightening, and fantastic trilogy. I didn't get to it as a kid, but having stumbled across a used version of ""The White Mountains"" recently, had to continue, and luckily found the rest of the series on Amazon.",2014,en
"Pea in a Pod: Your Complete Guide to Pregnancy, Childbirth & Beyond","Pregnancy and childbirth are not what they used to be. Fifty years ago, mothers-to-be visited their obstetricians once a month, did exactly what they were told, and gave birth to their babies while heavily sedated or anesthetized. Their husbands, who most likely had never even once accompanied them to the doctor, paced nervously in the waiting room, barred from the inner sanctum of the labor and delivery rooms. Today, some expectant parents still stand on the sidelines. But more choose to be active players. If you want to be a participant, not a spectator, in the birth of your baby, Pea in a Pod, Third Edition is your playbook. The labor and birth options available to modern parents-to-be are numerous, and Pea in a Pod covers them all. Taking you from your first day of pregnancy through your child's first year, it presents everything from relaxation exercises to practice during pregnancy, to birth positions and breating techniques—a treasure-trove of information designed to make your labor and delivery easier. This comprehensive guide offers a month-by-month breakdown of the physical changes to expect during pregnancy; describes the emotional aspects of pregnancy; and discusses the do's and don'ts of sex during and after pregnancy. It also provides a nutrition plan for the pregnant woman; exercise plans for the mother-to-be, new mother, and cesarean mother; and a wealth of hints for the father-to-be, labor partner, and new father. In addition, the basics of infant care and an in-depth discussion of breastfeeding are included. The third edition of this bestseller—with over a half-million copies sold—reflects the most up-to-date information on nutrition, prenatal testing, labor and delivery options, infant care, and more. Over 200 photographs and illustrations summarize and highlight the text, while witty cartoons offer humorous insights into parenthood and serve as welcome proof that you're not alone in your fears and frustations. Whether you're having your first child or your fourth, Pea in a Pod is an invaluable guide to keep at your elbow until your little one blows out that first birthday candle. A step-by-step handbook, a ready reference, and a source of practical advice, it is a book you'll turn to time and time again.",['Linda Goldberg'],"Square One Publishers, Inc.",2020-09-04,['Family & Relationships'],0757001815,A2VLMNCUD6HGS1,0/0,5.0,1329004800,Best Pregnancy and Childbirth Book on the Market!,"I've read a fair number of pregnancy and childbirth books, and this is by far the most comprehensive and informative, and at the same time it is very easy to read and understand. There is TONS of information in Goldberg's book, from detailed nutritional information to the stages of labor to pain management of all kinds (both natural techniques and available drugs). Of all the books on pregnancy and childbirth that are out there, THIS will be the one I give to my friends who are expecting!",2020,en
Why I Breathe . . .,"A New York Times Bestseller A Washington Post Notable Nonfiction Book of 2020 Named a Best Book of 2020 by NPR “A fascinating scientific, cultural, spiritual and evolutionary history of the way humans breathe—and how we’ve all been doing it wrong for a long, long time.” —Elizabeth Gilbert, author of Big Magic and Eat Pray Love No matter what you eat, how much you exercise, how skinny or young or wise you are, none of it matters if you’re not breathing properly. There is nothing more essential to our health and well-being than breathing: take air in, let it out, repeat twenty-five thousand times a day. Yet, as a species, humans have lost the ability to breathe correctly, with grave consequences. Journalist James Nestor travels the world to figure out what went wrong and how to fix it. The answers aren’t found in pulmonology labs, as we might expect, but in the muddy digs of ancient burial sites, secret Soviet facilities, New Jersey choir schools, and the smoggy streets of São Paulo. Nestor tracks down men and women exploring the hidden science behind ancient breathing practices like Pranayama, Sudarshan Kriya, and Tummo and teams up with pulmonary tinkerers to scientifically test long-held beliefs about how we breathe. Modern research is showing us that making even slight adjustments to the way we inhale and exhale can jump-start athletic performance; rejuvenate internal organs; halt snoring, asthma, and autoimmune disease; and even straighten scoliotic spines. None of this should be possible, and yet it is. Drawing on thousands of years of medical texts and recent cutting-edge studies in pulmonology, psychology, biochemistry, and human physiology, Breath turns the conventional wisdom of what we thought we knew about our most basic biological function on its head. You will never breathe the same again.",['James Nestor'],Penguin,2020-05-26,['Science'],1403347743,A2HTT3QJUM4KWZ,0/0,4.0,1042156800,keepin' it real.,"I'm still, I'm still crying from this book. When I first picked it up, I used to like it a little, now I like it a lot. Don't be fooled by the typos that its got. It's still, it's still a book not easily forgot.",2020,en
A Land Remembered,"A Land Remembered has been ranked #1 Best Florida Book eight times in annual polls conducted by Florida Monthly Magazine. In this best-selling novel, Patrick Smith tells the story of three generations of the MacIveys, a Florida family who battle the hardships of the frontier to rise from a dirt-poor Cracker life to the wealth and standing of real estate tycoons. The story opens in 1858, when Tobias MacIvey arrives in the Florida wilderness to start a new life with his wife and infant son, and ends two generations later in 1968 with Solomon MacIvey, who realizes that the land has been exploited far beyond human need. The sweeping story that emerges is a rich, rugged Florida history featuring a memorable cast of crusty, indomitable Crackers battling wild animals, rustlers, Confederate deserters, mosquitoes, starvation, hurricanes, and freezes to carve a kingdom out of the swamp. But their most formidable adversary turns out to be greed, including finally their own. Love and tenderness are here too: the hopes and passions of each new generation, friendships with the persecuted blacks and Indians, and respect for the land and its wildlife. A Land Remembered was winner of the Florida Historical Society's Tebeau Prize as the Most Outstanding Florida Historical Novel. Now in its 14th hardcover printing, it has been in print since 1984 and is also available in trade paperback.",['Patrick D. Smith'],Rowman & Littlefield,2012-09-20,['Fiction'],1417622768,A31806I3SGZM8Z,0/0,5.0,1356566400,This was a gift.,For me this was the best book ever written on the history of Florida. Sure the charactors are fictional but the rest of the book is based on fact. Simple reading but it is a book you find yourself reading over and over again or passing it on to other family members. It is a must read for all Floridians!,2012,en
Unfit for Command: Swift Boat Veterans Speak Out Against John Kerry,"The must-read summary of John E. O’Neill and Jerome R. Corsi's book: “Unfit for Command: Swift Boat Veterans Speak Out Against John Kerry”. This complete summary of ""Unfit for Command"" by John E. O'Neill and Jerome R. Corsi outlines their reasons that John Kerry is unfit to be America's commander in chief and president. They particularly highlight the 'atrocities' he committed in relation to the Vietnam War and its veterans. Added-value of this summary: • Save time • Understand John Kerry's time as commander in chief • Expand your knowledge of American politics and history To learn more, read ""Unfit for Command"" and discover why many veterans believe that John Kerry is unfit for office.",['BusinessNews Publishing'],Primento,2017-01-30,['Political Science'],B0006IU3ZS,A3CDOG7UFWJT8D,1/5,1.0,1093478400,Emblematic of all that's wrong with our political culture,"The veterans involved in the creation of this book (many of them, anyway) have a legitimate political argument with John Kerry. They feel that his anti-war activities following his time in Vietnam helped create a climate in which their service was devalued and in which they were thought of, in some cases, as war criminals and babykillers. That's a reasonable point of view--Senator Kerry himself thinks he went too far at that time.Instead of engaging in that argument, though, the vets were hijacked by amoral political hacks (these ones happen to be Republicans, but there are plenty on both sides) and talked into participating in this libelous character assassination. The fact that the ridiculous charges raised in this book--which have been definitively refuted by a tremendous amount of evidence--are given any credibility at all sickens me. Kerry made a series of moral choices, all guided by a profound sense of duty. Let's argue about those choices and their consequences instead of lying about the facts behind them.",2017,en
Techniques of the Selling Writer,"Techniques of the Selling Writer provides solid instruction for people who want to write and sell fiction, not just to talk and study about it. It gives the background, insights, and specific procedures needed by all beginning writers. Here one can learn how to group words into copy that moves, movement into scenes, and scenes into stories; how to develop characters, how to revise and polish, and finally, how to sell the product. No one can teach talent, but the practical skills of the professional writer's craft can certainly be taught. The correct and imaginative use of these kills can shorten any beginner's apprenticeship by years. This is the book for writers who want to turn rejection slips into cashable checks.",['Dwight V. Swain'],University of Oklahoma Press,2012-09-06,['Language Arts & Disciplines'],0806111917,A3AV69CNQAMMVC,2/2,5.0,1228262400,Techniques of The Selling Writer,This one is a must for the active writer. Even though it was writen in 1965 it is still a great tool. This is one of three must have books. It is writen in a a straight forward almost outline style and can be used over and over again as a reference.,2012,en
